DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (mPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
https://doi.org/10.1617/s11527-018-1219-14,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.13,MG20-100%RG,-,-,-,"1,9",2131,"6,4",-,-,-,"0,069","0,207",100,-,-,-,-,414,-,-,-,Sub-base,
https://doi.org/10.1617/s11527-018-1219-15,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.14,RG 100%,-,-,-,4,1886,"10,8",-,-,-,,,-,-,-,-,-,-,-,-,-,Sub-base,
https://doi.org/10.1617/s11527-018-1219-16,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.15,MG20-100%FL,-,-,-,2,2339,"5,5",-,-,-,"0,103","0,103",100,-,-,-,-,414,-,-,-,Base,
https://doi.org/10.1617/s11527-018-1219-17,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.16,MG20-25%RG/75%FL,-,-,-,2,2258,"5,9",-,-,-,"0,103","0,103",100,-,-,-,-,414,-,-,-,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-18,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.17,MG20-100%RG,-,-,-,"1,9",2131,"6,4",-,-,-,"0,138","0,276",100,-,-,-,-,690,-,-,-,Sub-base,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000850,RAP,Austrália,Triturado,-,100RAP,-,-,-,"3,4",2,"8,1","32,5",-,-,"0,05",,-,-,-,-,-,-,-,-,-,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000851,RAP,Austrália,Triturado,-,50RAP/50RCA,-,-,-,"1,7","2,3","11,5",39,-,-,"0,05",,-,-,-,-,-,-,-,-,-,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000852,RAP,Austrália,Triturado,-,30RAP/70RCA,-,-,-,"3,2","1,94",12,46,-,-,"0,05",,-,-,-,-,-,-,-,-,-,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000853,RAP,Austrália,Triturado,-,15RAP/85RCA,-,-,-,0,"1,95","12,2",66,-,-,"0,05","0,15",Multiplos,-,-,-,-,232,-,8866,"0,8866",-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000854,RAP,Austrália,Triturado,-,15RAP/85RCA,-,-,-,0,"1,95","12,2",66,-,-,"0,05","0,25",Multiplos,-,-,-,-,412-728,-,1972-3298,"0,1972 - 0,3298",-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000855,RAP,Austrália,Triturado,-,15RAP/85RCA,-,-,-,0,"1,95","12,2",66,-,-,"0,05","0,35",Multiplos,-,-,-,-,587-928,-,878-1823,"0,0878 - 0,1823",-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000856,RAP,Austrália,Triturado,-,100RCA,-,-,-,"3,6","1,96",12,118,-,-,"0,05","0,15",Multiplos,-,-,-,-,342-357,-,2426-5669,"0,2426 - 0,5669",-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000857,RAP,Austrália,Triturado,-,100RCA,-,-,-,"3,6","1,96",12,118,-,-,"0,05","0,25",Multiplos,-,-,-,-,660-713,-,1585-2956,"0,1585 - 0,2956",-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000858,RAP,Austrália,Triturado,-,100RCA,-,-,-,"3,6","1,96",12,118,-,-,"0,05","0,35",Multiplos,-,-,-,-,695-716,-,1585-2532,"0,1585 - 0,2532",-,
10.34910/MCE.115.5,NATURAL,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",C0 (35 °C),-,-,-,-,"G_graúdo: 2,642<br>G_miúdo: 2,614",-,-,-,-,,,-,-,-,-,"0,825","682,5",-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; MDD indisponível (G como proxy)
10.34910/MCE.115.6,NATURAL,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",C0 (45 °C),-,-,-,-,"G_graúdo: 2,642<br>G_miúdo: 2,614",-,-,-,-,,,-,-,-,-,"0,825",284,-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; MDD indisponível (G como proxy)
10.34910/MCE.115.7,EAF,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CS1 (35 °C),-,-,-,-,"G_graúdo: 2,727<br>G_miúdo: 2,661",-,-,-,-,,,-,-,-,-,"0,825","697,5",-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; G calculado (90% Nat + 10% EAF)
